"UUID","time_stamp","T1_time","T2_time","age","gender","education","field","semester","KQ_1","KQ_2","KQ_3","KQ_4","KQ_5","KQ_6","KQ_7","KQ_8","KQ_9","KQ_10","KQ_11","KQ_12","T1_UQ_1","T1_UQ_2","T1_UQ_3","T1_UQ_4","T1_UQ_5","T1_UQ_6","T1_UQ_7","T1_UQ_8","T1_UQ_9","T1_UQ_10","T1_UQ_11","T1_UQ_12","T1_UQ_13","T1_UQ_14","T1_UQ_15","T1_UQ_16","T1_LQ_1","T1_LQ_2","T1_LQ_3","T1_LQ_4","T1_LQ_5","T1_LQ_6","T1_LQ_7","T1_LQ_8","T1_LQ_9","T1_LQ_10","T1_LQ_11","T1_LQ_12","T1_LQ_13","T1_LQ_14","T1_LQ_15","T1_LQ_16","T1_LQ_17","T1_LQ_18","T2_UQ_1","T2_UQ_2","T2_UQ_3","T2_UQ_4","T2_UQ_5","T2_UQ_6","T2_UQ_7","T2_UQ_8","T2_UQ_9","T2_UQ_10","T2_UQ_11","T2_UQ_12","T2_UQ_13","T2_UQ_14","T2_LQ_1","T2_LQ_2","T2_LQ_3","T2_LQ_4","T2_LQ_5","T2_LQ_6","T2_LQ_7","T2_LQ_8","T2_LQ_9","T2_LQ_10","T2_LQ_11","T2_LQ_12","T2_LQ_13","T2_LQ_14","T2_LQ_15","T2_LQ_16","T2_LQ_17","T2_LQ_18","CQ_1","CQ_2","CQ_3","CQ_4","CQ_5","CQ_6","CQ_7","FQ_1","FQ_2","FQ_3","FQ_4","FQ_5","FQ_6","FQ_7","FQ_8","T1_LQ_agg","T2_LQ_agg","T1_UQ_2_dont-know","T1_UQ_2_perf","T1_UQ_3_dont-know","T1_UQ_3_perf","T1_UQ_4_dont-know","T1_UQ_4_perf","T1_UQ_5_dont-know","T1_UQ_5_perf","T1_UQ_6_dont-know","T1_UQ_6_perf","T1_UQ_7_dont-know","T1_UQ_7_perf","T1_UQ_8_dont-know","T1_UQ_8_perf","T1_UQ_9_dont-know","T1_UQ_9_perf","T1_UQ_10_dont-know","T1_UQ_10_perf","T1_UQ_11_dont-know","T1_UQ_11_perf","T1_UQ_12_dont-know","T1_UQ_12_perf","T1_UQ_13_dont-know","T1_UQ_13_perf","T2_UQ_2_dont-know","T2_UQ_2_perf","T2_UQ_3_dont-know","T2_UQ_3_perf","T2_UQ_4_dont-know","T2_UQ_4_perf","T2_UQ_5_dont-know","T2_UQ_5_perf","T2_UQ_6_dont-know","T2_UQ_6_perf","T2_UQ_7_dont-know","T2_UQ_7_perf","T2_UQ_8_dont-know","T2_UQ_8_perf","T2_UQ_9_dont-know","T2_UQ_9_perf","T2_UQ_10_dont-know","T2_UQ_10_perf","T2_UQ_11_dont-know","T2_UQ_11_perf","T1_perf_agg","T1_dont-know_agg","T2_perf_agg","T2_dont-know_agg"
"49b094","2025/03/03 11:26:07 am","1103","1725","18-24 years old","male","master","software engineering","3","yes","['personal life/projects' 'study/university']","docker compose","2","docker compose","no","no","no","no","no","no","nan","monokle","12.0","2.0","none of the left","none of the left","none of the left","none of the left","don't know","8080","8080","don't know","yes","jdbc:postgresql","no","yes","2.0","5","2","6","3","6","1","1","4","2","1","1","2","1","2","1","2","nan","the tool only provides a minimal amount of visualization.","demaf","23.0","2.0","none of the left","none of the left","none of the left","none of the left","8.0.0-rc9","9092","27017","mongodb:mongodb_product_catalog","no","yes","4.0","4","2","2","4","1","5","3","4","3","5","3","3","5","4","5","4","very clear which services connect to each other, provides a lot of useful information.","fix images, make things less breakable (startup config). names are often cut of, which makes searching difficult.","1","1","1","1","1","demaf","add search functionality.","deployment models are great.","some information was simply not provided in any way by the first tool","not sure if you randomized tasks and tool, but that is something you could do.","2","3","2","yes","nan","4.4","2.6","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","41.666666666666664","2.0","60.0","0.0"
"55bd3e","2025/03/05 3:16:48 pm","1368","1345","18-24 years old","male","master","software engineering","6","yes","study/university","['kubernetes' 'docker compose']","3","docker compose","no","yes","no","no","no","yes","['opentosca' 'winery']","demaf","13.0","1.0","none of the left","none of the left","uibackend","none of the left","main","8080","don't know","25","no","inventory:inventory","yes","yes","3.0","5","5","2","5","5","3","4","5","2","4","1","4","4","1","4","3","the information which was shown was easy to understand","it was difficult to find where certain information was shown, such as e.g. the version or if something is a database.","monokle","26.0","1.0","don't know","don't know","don't know","don't know","8.0.0-rc9","don't know","27017","mongo:mongo_product_catalog","yes","yes","1.0","6","5","2","6","7","1","3","1","1","3","1","3","1","1","1","1","the ""form"" tab displayed pretty extensive information. separation between service/deployment etc.","graph view was almost unusuable as there were way to many links. it was difficult to follow links, since you had to click around between too many files, this also ment it was unclear where what was recorded.","1","1","2","1","3","demaf","i much preferred the ui on demaf, monokle was very overwhelming and also provided so much more functionallity which was not really related to the task but was distracting, as it was not really obvious at first, where information would be displayed.","using winery again after quite some time.","its always difficult to learn new uis if you are completely new to them. especially, trying to find the specific location where a certain information is displayed. also, since i only worked with deplyoment models a while back, remembering the exact way of writing eg. internal and mapped port.","maybe clean up the key value display, that is the only part i preferred for the other tool. as in display the information like ports more cleanly. also an easier way to inspect the artifacts, maybe just in a single inspection window.","5","4","4","maybe","nan","4.4","5.2","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","83.33333333333333","1.0","40.0","5.0"
"59278c","2025/03/06 3:03:10 pm","1524","1348","25-34 years old","female","master","computer science","nan","no","nan","nan","1","nan","unsure","unsure","unsure","unsure","unsure","no","nan","monokle","12.0","9.0","don't know","don't know","don't know","don't know","nan","80","80","1","don't know","nan","yes","yes","2.0","6","2","6","5","5","3","2","2","2","2","1","4","2","2","2","2","nan","nan","demaf","","","none of the left","none of the left","none of the left","none of the left","1.11.1","9092","8080","mongo:mongo_product_catalog","no","yes","4.0","3","1","5","3","4","4","4","3","4","2","2","5","4","4","5","4","direkte darstellung der graph struktur (verbindungen)","['name nicht direkt ersichtlich' 'anzahl schwierig zu finden']","2","2","1","1","2","demaf","nan","bei demaf deutlich schneller fragen beantworten zu können","informationen im ersten tool zu finden","['übersichtsseite mit allen daten werten'  'herauszoomen aus der darstellung']","1","2","2","yes","nan","4.8","3.2","0.0","100.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","16.666666666666668","5.0","40.0","0.0"
"bd2070","2025/03/10 6:45:38 pm","1889","992","25-34 years old","male","no higher education level","mathemetics","6+","no","nan","nan","1","nan","unsure","yes","yes","no","no","no","nan","demaf","13.0","1.0","none of the left","none of the left","none of the left","uibackend","main","8080","80","25","no","eventuate:eventuate","yes","yes","4.0","2","2","5","4","4","2","4","4","4","4","3","3","4","5","3","2","highlight all","clustered","monokle","26.0","2.0","none of the left","checkout service","none of the left","none of the left","1.11.1","9093","27017","nan","yes","yes","1.0","6","6","5","4","6","1","3","4","4","1","3","1","2","1","3","3","the search bar","the overclustered graphes","1","2","4","4","3","demaf","demaf könnte eine aufzählung gebrauchen.","the graphes.","nan","die zu langen namen die das knotenlayout ein bisschen kaputt gemacht haben","1","3","1","maybe","die markiere funktion ist toll","3.4","5.4","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","75.0","0.0","60.0","0.0"
"1fd9b5","2025/03/11 11:20:26 am","1572","1713","18-24 years old","male","master","computer science","1","yes","['personal life/projects' 'work' 'study/university']","['docker compose' 'ansible' 'kubernetes']","4","docker compose","yes","yes","yes","unsure","yes","yes","['ansible playbook grapher' 'ansible run analysis (ara)'  'terraform graph (built-in tool)']","monokle","12.0","","order","none of the left","cart","cart","nan","80","80","25","don't know","nan","yes","yes","4.0","3","4","4","3","3","4","4","3","3","4","3","4","4","4","4","4","graphical interface","none","demaf","","","none of the left","don't know","none of the left","don't know","don't know","don't know","don't know","nan","no","yes","3.0","5","2","6","5","5","2","2","5","2","3","2","3","3","3","3","3","nan","nan","4","5","4","2","4","other tool","nan","how service are interacting and how we can represent them using the graphical interface ","nan","nan","3","3","2","yes","nan","3.4","4.6","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","33.333333333333336","1.0","10.0","5.0"
"ba8305","2025/03/12 11:06:45 am","962","1650","25-34 years old","male","master","mechatronik","5","no","work","nan","1","nan","no","no","no","no","no","no","nan","demaf","13.0","2.0","none of the left","orchestrator","uibackend","none of the left","nan","8080","8080","25","no","eventuate:eventuate","no","yes","4.0","5","3","2","2","2","4","4","4","4","4","3","5","5","5","4","4","it was easy to use and it clearly represented the interaction between the different services.","nan","monokle","22.0","1.0","checkout service","['checkout service' 'accounting service']","product catalog service","['accounting service' 'product catalog service']","1.11.1","9092","27017","nan","yes","yes","2.0","6","4","4","6","6","1","1","1","1","2","2","3","2","2","2","2","nan","difficult to see the interactions between the different services in the graph section. difficult to find the exact service you are searching for in the graph section.","1","1","1","1","2","demaf","an easier description of the key usage in the documentation.","see another technical area.","using tools like that.","icons in the services when seeing the graph","1","2","2","yes","nan","2.8","5.2","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","58.333333333333336","0.0","20.0","0.0"
"34a7ac","2025/03/12 4:24:29 pm","1110","1010","18-24 years old","male","master","mechatronik","nan","yes","['personal life/projects' 'study/university']","['kubernetes' 'docker compose']","2","docker compose","no","no","no","no","no","no","nan","monokle","12.0","2.0","order","order","cart","cart","main","8080","80","1","yes","eventuate:eventuate","yes","no","","6","5","5","6","5","3","3","3","2","3","3","3","3","3","3","3","nan","nan","demaf","23.0","1.0","none of the left","none of the left","none of the left","none of the left","1.11.1","9092","8080","mongo:mongo_product_catalog","yes","yes","1.0","6","5","6","6","6","2","2","2","2","3","2","2","4","3","3","2","the graphical representations of the nodes","there was no easy way to see how many services and or databases were active. the connecting lines of services were visually placed above certain ui components which made it really difficult to read some ui panels.","4","5","4","4","4","other tool","nan","nan","i'm not an informatics expert. understanding the tasks was tricky","nan","1","3","4","maybe","nan","5.4","5.8","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","41.666666666666664","0.0","40.0","0.0"
"3caa4e","2025/03/13 5:34:33 pm","1559","1230","18-24 years old","female","master","mechatronik","nan","no","nan","nan","1","nan","no","no","no","no","no","no","nan","demaf","8.0","","none of the left","orchestrator","uibackend","none of the left","main","8080","80","25","no","inventory:inventory","yes","yes","3.0","6","2","4","5","5","3","2","4","3","3","2","4","3","3","3","3","nan","nan","monokle","26.0","1.0","checkout service","accounting service","product catalog service","product catalog service","1.11.1","9093","27017","mongo:mongo_product_catalog","yes","no","","7","1","5","7","6","2","3","2","2","3","2","2","1","2","2","2","nan","nan","2","2","3","2","3","indecisive","nan","nan","die aufgaben waren für mein persönliches wissen etwas anspruchsvoll, trotzdem hat es irgendwie spaß gemacht mit neuen tools ""rumzuspielen""","nan","1","4","3","yes","nan","4.4","5.2","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","75.0","0.0","40.0","0.0"
"58a4d6","2025/03/14 12:40:14 pm","1286","1743","18-24 years old","female","no higher education level","simulation technology","6+","no","nan","nan","1","nan","no","no","no","no","no","no","nan","monokle","11.0","2.0","none of the left","none of the left","none of the left","none of the left","main","80","80","25","no","inventory:inventory","no","yes","2.0","6","2","3","6","5","4","2","4","3","4","3","4","4","2","4","4","the structure being partitioned into different categories was helpful to get a good overview. the general layout is very similar to other ides, making it easy to find things.","the graph visualization did not provide more information to me than i could find otherwise, so it did not seem very useful to me.","demaf","19.0","1.0","frontend","['cart service' 'shipping service' 'email service' 'currency service'  'payment service' 'product catalog service']","['frontend' 'checkout service' 'recommendation service']","none of the left","1.11.1","9092","27017","mongo:mongo_product_catalog","yes","yes","4.0","6","2","3","7","7","1","2","2","1","4","1","4","2","1","1","3","the graphical representation gave a nice overview over what services existed. the color-coded nodes were helpful to determine types (once i realized that the color coding existed). the ability to switch to the original text representation was useful.","the connecting lines running through nodes were confusing since you often needed to move nodes in order to accurately determine where they were connected to. i ended up using the text-based representation to find out what services have the addresses of other services in their properties (assuming that means they are connected). the names of the nodes were truncated, which made finding specific services hard because most of the names start with the same words (the name of the demo). while the properties window was a nice overview of all properties, most of them seemed irrelevant to the actual node. there were a lot of options for the visualization which would certainly be helpful after gaining an understanding of the tool, but felt rather overwhelming as someone who had never worked with a similar tool before.","5","4","5","4","3","other tool","['the structure of demaf was very different from monokle and other ides i used before, which gave monokle the strong advantage of familiarity'  'if demaf had a similar structure (file explorer part etc.) it might be easier to understand for people used to working with ides.']","i like learning about tools using trial-and-error rather than the documentation (which is why i did not spend much time with the provided documentation) and it felt like this strategy worked reasonably well here.","nan","nan","1","2","2","yes","nan","4.4","5.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","66.66666666666667","0.0","58.0","0.0"
"27f79f","2025/03/17 10:43:20 am","647","1568","25-34 years old","male","master","computer science","6+","yes","study/university","docker compose","2","docker compose","no","no","no","no","no","no","nan","demaf","11.0","2.0","none of the left","orchestrator","uibackend","none of the left","don't know","8080","80","25","no","eventuate:eventuate","no","no","","4","2","2","5","3","4","3","5","3","2","4","5","3","3","4","4","intuitive colorcoding, ability to reorganize the arrangement of nodes","no search function i was aware of","monokle","23.0","1.0","checkout service","none of the left","product catalog service","none of the left","1.11.1","9092","27017","mongo:mongo_product_catalog","yes","yes","1.0","5","2","5","5","6","2","2","3","1","5","2","1","3","2","3","2","lots of detailed information","not very intuitive to me","1","2","1","2","3","demaf","nan","very interesting to see different visualization options","the documentations were little helpful at better understanding the task","search function","1","2","3","yes","nan","3.2","4.6","0.0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","1.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","100.0","75.0","1.0","40.0","0.0"
