UUID,Zeitstempel,Completion time first task,Completion time second task,How old are you?,What is your gender?,What is your Level of Education?,What is your Field of Study?,"If you're still studying, what semester are you in?",Have you worked with deployment technologies before?,"If you used deployment technologies before, for what did you use them for?","If you used deployment technologies before, which deployment technologies have you used?",How familiar are you with deployment technologies?,"If you used deployment technologies before, which deployment technology are most familiar with?",Do you know the following terms? [Technology-Agnostic Deployment Model (TADM)],Do you know the following terms? [Topology and Orchestration Specification for Cloud Applications (TOSCA)],Do you know the following terms? [Essential Deployment Metamodel (EDMM)],Do you know the following terms? [Deployment Model Abstraction Framework (DeMAF)],Do you know the following terms? [Technology-Specific Deployment Model (TSDM)],Have you used any visualization tools for deployment models before?,"If yes, which ones?",Which tool were you working with?,How many services get deployed?,How many databases get deployed?,"General [Which service(s) interact with the ""Order Service""?]","General [Which service(s) does the ""Order Service"" interact with?]","General [Which service(s) interact with the ""Cart Service""?]","General [Which service(s) does the ""Cart Service"" interact with?]","Which version does the ""UI"" use?","What port does the ""Orchestrator"" use?","What port gets mapped to the internal port 8080 of the ""Payment Service""?","How big is the ""Inventory""?","Is ""Jaeger"" enabled?",What are the username and password for the spring datasource?,I required help for completing the tasks.,Did you use the provided documentation by the tool?,"If you used the documentation, how useful was it?",How mentally demanding were the tasks?,How hurried or rushed were the pace of the tasks?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed and annoyed were you when working on the tasks using this tool?",The visualization helped me understand the deployment model clearly.  ,The information presented was easy to interpret.,The tool was easy to navigate.,I could efficiently find the information I needed.,The tool provided all necessary information about the deployment model.,I was able to extract the required details without difficulty.,The graphical representation was visually appealing.,The layout and design made it easy to follow the model structure.,I could analyze the deployment model quickly using this tool.,The tool made the analysis process more efficient.,I liked this tool.,What was positive about the tool you used?,What was negative about the tool you used?,Which tool were you working with?.1,How many services get deployed?.1,How many databases get deployed?.1,"General [Which service(s) interact with the ""Checkout Service""?]","General [Which service(s) does the ""Checkout Service"" interact with?]","General [Which service(s) interact with the ""Product Catalog Service""?]","General [Which service(s) does the ""Product Catalog Service"" interact with?]",Which version does the Mongo database use?,What port does the Kafka queue use?,What port gets mapped to the internal port 27017 of the MongoDB?,What are the username and password for the MongoDB?,I required help for completing the tasks..1,Did you use the provided documentation from the tool?,"If you used the documentation, how useful was it?.1",How mentally demanding were the tasks?.1,How hurried or rushed were the pace of the tasks?.1,How successful were you in accomplishing what you were asked to do?.1,How hard did you have to work to accomplish your level of performance?.1,"How insecure, discouraged, irritated, stressed and annoyed were you when working on the tasks using this tool?.1",The visualization helped me understand the deployment model clearly.  .1,The information presented was easy to interpret..1,The tool was easy to navigate..1,I could efficiently find the information I needed..1,The tool provided all necessary information about the deployment model..1,I was able to extract the required details without difficulty..1,The graphical representation was visually appealing..1,The layout and design made it easy to follow the model structure..1,I could analyze the deployment model quickly using this tool..1,The tool made the analysis process more efficient..1,I liked this tool..1,What was positive about the tool you used?.1,What was negative about the tool you used?.1,I preferred this tool over the other one for understanding deployment models. ,This tool was easier to learn compared to the other tool.,I felt confident in my understanding when using this tool. ,I would use this tool again for deployment model visualization. ,This tool provided better insights than the alternative tool I used. ,I prefer this tool.,Do you have additional feedback on the tools you used in this study?,What did you like most about this study?,What did you find challenging or unclear?,Do you have any suggestions for improving the study or our tool (DeMAF) used?,The survey was well-structured and easy to follow.,The study helped me understand all relevant aspects of deployment model visualization.,The study helped me understand the given deployment models and how they are structured.,Would you participate in a similar study again?,Any additional comments?
49b094,2025/03/03 11:26:07 AM,1103,1725,18-24 years old,Male,Master,Software Engineering,3,Yes,Personal life/projects;Study/University,Docker compose,2,Docker compose,No,No,No,No,No,No,,Monokle,12.0,2.0,None of the left,None of the left,None of the left,None of the left,Don't know,8080,8080,Don't know,Yes,jdbc:postgresql,No,Yes,2.0,5,2,6,3,6,1,1,4,2,1,1,2,1,2,1,2,,The tool only provides a minimal amount of visualization.,DeMAF,23.0,2.0,None of the left,None of the left,None of the left,None of the left,8.0.0-rc9,9092,27017,mongodb:mongodb_product_catalog,No,Yes,4.0,4,2,2,4,1,5,3,4,3,5,3,3,5,4,5,4,"Very clear which services connect to each other, provides a lot of useful information.","Fix images, make things less breakable (startup config). Names are often cut of, which makes searching difficult.",1,1,1,1,1,DeMAF,Add search functionality.,Deployment models are great.,Some information was simply not provided in any way by the first tool,"Not sure if you randomized tasks and tool, but that is something you could do.",2,3,2,Yes,
55bd3e,2025/03/05 3:16:48 PM,1368,1345,18-24 years old,Male,Master,Software Engineering,6,Yes,Study/University,Kubernetes;Docker compose,3,Docker compose,No,Yes,No,No,No,Yes,OpenTOSCA;Winery,DeMAF,13.0,1.0,None of the left,None of the left,UIBackend,None of the left,main,8080,Don't know,25,No,inventory:inventory,Yes,Yes,3.0,5,5,2,5,5,3,4,5,2,4,1,4,4,1,4,3,The Information which was shown was easy to understand,"It was difficult to find where certain information was shown, such as e.g. the version or if something is a database.",Monokle,26.0,1.0,Don't know,Don't know,Don't know,Don't know,8.0.0-rc9,Don't know,27017,mongo:mongo_product_catalog,Yes,Yes,1.0,6,5,2,6,7,1,3,1,1,3,1,3,1,1,1,1,"The ""Form"" tab displayed pretty extensive information. Separation between service/deployment etc.","Graph view was almost unusuable as there were way to many links. It was difficult to follow links, since you had to click around between too many files, this also ment it was unclear where what was recorded.",1,1,2,1,3,DeMAF,"I much preferred the UI on DeMAF, Monokle was very overwhelming and also provided so much more functionallity which was not really related to the task but was distracting, as it was not really obvious at first, where information would be displayed.",Using Winery again after quite some time.,"Its always difficult to learn new UIs if you are completely new to them. Especially, trying to find the specific location where a certain information is displayed. Also, since I only worked with deplyoment models a while back, remembering the exact way of writing eg. internal and mapped port.","Maybe clean up the key value display, that is the only part I preferred for the other tool. as in display the information like ports more cleanly. Also an easier way to inspect the artifacts, maybe just in a single inspection window.",5,4,4,Maybe,
59278c,2025/03/06 3:03:10 PM,1524,1348,25-34 years old,Female,Master,Computer Science,,No,,,1,,Unsure,Unsure,Unsure,Unsure,Unsure,No,,Monokle,12.0,9.0,Don't know,Don't know,Don't know,Don't know,,80,80,1,Don't know,,Yes,Yes,2.0,6,2,6,5,5,3,2,2,2,2,1,4,2,2,2,2,,,DeMAF,,,None of the left,None of the left,None of the left,None of the left,1.11.1,9092,8080,mongo:mongo_product_catalog,No,Yes,4.0,3,1,5,3,4,4,4,3,4,2,2,5,4,4,5,4,direkte darstellung der graph struktur (Verbindungen),Name nicht direkt ersichtlich; anzahl schwierig zu finden,2,2,1,1,2,DeMAF,,bei DeMAF deutlich schneller fragen beantworten zu können,informationen im ersten tool zu finden,Übersichtsseite mit allen daten werten; herauszoomen aus der darstellung,1,2,2,Yes,
bd2070,2025/03/10 6:45:38 PM,1889,992,25-34 years old,Male,No higher education level,Mathemetics,6+,No,,,1,,Unsure,Yes,Yes,No,No,No,,DeMAF,13.0,1.0,None of the left,None of the left,None of the left,UIBackend,main,8080,80,25,No,eventuate:eventuate,Yes,Yes,4.0,2,2,5,4,4,2,4,4,4,4,3,3,4,5,3,2,Highlight all,Clustered,Monokle,26.0,2.0,None of the left,Checkout Service,None of the left,None of the left,1.11.1,9093,27017,,Yes,Yes,1.0,6,6,5,4,6,1,3,4,4,1,3,1,2,1,3,3,the search bar,the overclustered graphes,1,2,4,4,3,DeMAF,DeMAF könnte eine Aufzählung gebrauchen.,the graphes.,,Die zu langen Namen die das Knotenlayout ein bisschen kaputt gemacht haben,1,3,1,Maybe,Die Markiere Funktion ist toll
1fd9b5,2025/03/11 11:20:26 AM,1572,1713,18-24 years old,Male,Master,Computer Science,1,Yes,Personal life/projects;Work;Study/University,Docker compose;Ansible;Kubernetes,4,Docker compose,Yes,Yes,Yes,Unsure,Yes,Yes,Ansible Playbook Grapher;Ansible Run Analysis (ARA);Terraform Graph (built-in tool),Monokle,12.0,,Order,None of the left,Cart,Cart,,80,80,25,Don't know,,Yes,Yes,4.0,3,4,4,3,3,4,4,3,3,4,3,4,4,4,4,4,graphical interface,none,DeMAF,,,None of the left,Don't know,None of the left,Don't know,Don't know,Don't know,Don't know,,No,Yes,3.0,5,2,6,5,5,2,2,5,2,3,2,3,3,3,3,3,,,4,5,4,2,4,Other tool,,how service are interacting and how we can represent them using the graphical interface ,,,3,3,2,Yes,
ba8305,2025/03/12 11:06:45 AM,962,1650,25-34 years old,Male,Master,Mechatronik,5,No,Work,,1,,No,No,No,No,No,No,,DeMAF,13.0,2.0,None of the left,Orchestrator,UIBackend,None of the left,,8080,8080,25,No,eventuate:eventuate,No,Yes,4.0,5,3,2,2,2,4,4,4,4,4,3,5,5,5,4,4,It was easy to use and it clearly represented the interaction between the different services.,,Monokle,22.0,1.0,Checkout Service,Checkout Service;Accounting Service,Product Catalog Service,Accounting Service;Product Catalog Service,1.11.1,9092,27017,,Yes,Yes,2.0,6,4,4,6,6,1,1,1,1,2,2,3,2,2,2,2,,Difficult to see the interactions between the different services in the graph section. Difficult to find the exact service you are searching for in the graph section.,1,1,1,1,2,DeMAF,An easier description of the key usage in the documentation.,See another technical area.,Using tools like that.,Icons in the services when seeing the graph,1,2,2,Yes,
34a7ac,2025/03/12 4:24:29 PM,1110,1010,18-24 years old,Male,Master,Mechatronik,,Yes,Personal life/projects;Study/University,Kubernetes;Docker compose,2,Docker compose,No,No,No,No,No,No,,Monokle,12.0,2.0,Order,Order,Cart,Cart,main,8080,80,1,Yes,eventuate:eventuate,Yes,No,,6,5,5,6,5,3,3,3,2,3,3,3,3,3,3,3,,,DeMAF,23.0,1.0,None of the left,None of the left,None of the left,None of the left,1.11.1,9092,8080,mongo:mongo_product_catalog,Yes,Yes,1.0,6,5,6,6,6,2,2,2,2,3,2,2,4,3,3,2,The graphical representations of the nodes,There was no easy way to see how many services and or databases were active. The connecting lines of services were visually placed above certain UI components which made it really difficult to read some UI panels.,4,5,4,4,4,Other tool,,,I'm not an informatics expert. Understanding the tasks was tricky,,1,3,4,Maybe,
3caa4e,2025/03/13 5:34:33 PM,1559,1230,18-24 years old,Female,Master,Mechatronik,,No,,,1,,No,No,No,No,No,No,,DeMAF,8.0,,None of the left,Orchestrator,UIBackend,None of the left,main,8080,80,25,No,inventory:inventory,Yes,Yes,3.0,6,2,4,5,5,3,2,4,3,3,2,4,3,3,3,3,,,Monokle,26.0,1.0,Checkout Service,Accounting Service,Product Catalog Service,Product Catalog Service,1.11.1,9093,27017,mongo:mongo_product_catalog,Yes,No,,7,1,5,7,6,2,3,2,2,3,2,2,1,2,2,2,,,2,2,3,2,3,Indecisive,,,"die Aufgaben waren für mein persönliches Wissen etwas anspruchsvoll, trotzdem hat es irgendwie Spaß gemacht mit neuen Tools ""rumzuspielen""",,1,4,3,Yes,
58a4d6,2025/03/14 12:40:14 PM,1286,1743,18-24 years old,Female,No higher education level,Simulation Technology,6+,No,,,1,,No,No,No,No,No,No,,Monokle,11.0,2.0,None of the left,None of the left,None of the left,None of the left,main,80,80,25,No,inventory:inventory,No,Yes,2.0,6,2,3,6,5,4,2,4,3,4,3,4,4,2,4,4,"The structure being partitioned into different categories was helpful to get a good overview. The general layout is very similar to other IDEs, making it easy to find things.","The graph visualization did not provide more information to me than I could find otherwise, so it did not seem very useful to me.",DeMAF,19.0,1.0,Frontend,Cart Service;Shipping Service;Email Service;Currency Service;Payment Service;Product Catalog Service,Frontend;Checkout Service;Recommendation Service,None of the left,1.11.1,9092,27017,mongo:mongo_product_catalog,Yes,Yes,4.0,6,2,3,7,7,1,2,2,1,4,1,4,2,1,1,3,The graphical representation gave a nice overview over what services existed. The color-coded nodes were helpful to determine types (once I realized that the color coding existed). The ability to switch to the original text representation was useful.,"The connecting lines running through nodes were confusing since you often needed to move nodes in order to accurately determine where they were connected to. I ended up using the text-based representation to find out what services have the addresses of other services in their properties (assuming that means they are connected). The names of the nodes were truncated, which made finding specific services hard because most of the names start with the same words (the name of the demo). While the properties window was a nice overview of all properties, most of them seemed irrelevant to the actual node. There were a lot of options for the visualization which would certainly be helpful after gaining an understanding of the tool, but felt rather overwhelming as someone who had never worked with a similar tool before.",5,4,5,4,3,Other tool,"The structure of DeMAF was very different from Monokle and other IDEs I used before, which gave Monokle the strong advantage of familiarity; if DeMAF had a similar structure (file explorer part etc.) it might be easier to understand for people used to working with IDEs.",I like learning about tools using trial-and-error rather than the documentation (which is why I did not spend much time with the provided documentation) and it felt like this strategy worked reasonably well here.,,,1,2,2,Yes,
27f79f,2025/03/17 10:43:20 AM,647,1568,25-34 years old,Male,Master,Computer Science,6+,Yes,Study/University,Docker compose,2,Docker compose,No,No,No,No,No,No,,DeMAF,11.0,2.0,None of the left,Orchestrator,UIBackend,None of the left,Don't know,8080,80,25,No,eventuate:eventuate,No,No,,4,2,2,5,3,4,3,5,3,2,4,5,3,3,4,4,"Intuitive colorcoding, ability to reorganize the arrangement of nodes",No search function I was aware of,Monokle,23.0,1.0,Checkout Service,None of the left,Product Catalog Service,None of the left,1.11.1,9092,27017,mongo:mongo_product_catalog,Yes,Yes,1.0,5,2,5,5,6,2,2,3,1,5,2,1,3,2,3,2,Lots of detailed information,Not very intuitive to me,1,2,1,2,3,DeMAF,,Very interesting to see different visualization options,The documentations were little helpful at better understanding the task,Search function,1,2,3,Yes,
